CODI_CAPA;NOM_CAPA_CAT;NOM_CAPA_CAST;NOM_CAPA_ANG;LATITUD;LONGITUD;EQUIPAMENT;TELEFON;ADRECA
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.4197483663514;2.097675788445529;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42602209793158;2.097598815504633;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.4335088803743;2.0975312263856747;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42599311638722;2.0977084689326593;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.429677893357415;2.0976856214051662;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.43358661914804;2.0977201572189657;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42979306088855;2.0977853621409106;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.421102122749055;2.097910299471205;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42106346018285;2.09793293701162;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.421077143155074;2.0979537013187524;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42122016243748;2.098008743467717;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42176418605773;2.0980031896079194;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42718376631519;2.09823499916039;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42726935036318;2.098444735819326;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42029570236807;2.0989869967409014;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42029569345532;2.0989870088306435;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.43080194157843;2.100013375412808;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.43068894671274;2.100192272673854;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42748536869481;2.1007605689671216;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42778757471828;2.100866312185036;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.43118703735937;2.101718062288647;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.43126880599526;2.101891017731086;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.43000932217967;2.1019321942058826;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.430091730668565;2.1020209885714034;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41844167035805;2.1023638903874025;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41075838849897;2.1027506496266746;BUS -111--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.410869438907675;2.1027503299810912;BUS -111--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41706512043888;2.103723031466372;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41683225676039;2.1038937557039366;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41288323124398;2.1040038739920757;BUS -111--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.413139185535684;2.1042523922694665;BUS -111--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.391084968509105;2.104667947566947;BUS -113--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.39330630988748;2.104930357609168;BUS -113--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.416090307929544;2.104621900577529;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.386800224600734;2.105091872816829;BUS -63-68-78--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.39084330156832;2.1053296646380386;BUS -113--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.39501327069044;2.1054096269837737;BUS -113--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38681913452154;2.105581152883331;BUS -22-63-68-78-EP1-JM--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41564491698503;2.1052621992993346;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.414797237642254;2.1053297117860463;BUS -111--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.414683979472834;2.1053426451958805;BUS -111--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.414833384250315;2.105767621318293;BUS -118--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38753051261422;2.1063071554024404;BUS -22--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.390634356950535;2.1063684807522165;BUS -113--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41637285998743;2.1064103571409594;BUS -111--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.388755714832975;2.1068110521486996;BUS -EP1-JM--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.39091608290389;2.1070482145247613;BUS -113--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.416074501207504;2.10693171504517;BUS -111--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38975441531643;2.1076625411884082;BUS -22-60-63-68-75-78-113--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.3893329113409;2.1077614563488125;BUS -22-63-68-75-78--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.40405326846384;2.107749252363859;BUS -130--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38838523204364;2.108442239057027;BUS -60-75-113-EP1-JM--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.39246585569354;2.108432654121443;BUS -60--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.39737147884839;2.108403115701937;BUS -113--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.419532109881686;2.108224380190591;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.40399262349983;2.108535070702214;BUS -130--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.39000188581649;2.1087932023980347;BUS -60--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.382992073781196;2.1088989568910184;BUS -L14--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41991251520935;2.1084944049561773;BUS -128--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.383309145478044;2.108996501261594;BUS -L14--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38511715986698;2.108974736703613;BUS -67-L97-L79--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.391826631584856;2.109194521375965;BUS -60--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38547946691448;2.1094865051055613;BUS -67-L79--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38857133012455;2.109487193138917;BUS -54-75-EP1-JM--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.40492364147522;2.109562985789647;BUS -130--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.40568498603002;2.1096639386566345;BUS -130--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.396727589757816;2.1099052078615563;BUS -113--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.40390229285571;2.1099330366225697;BUS -130--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.395021275606986;2.1100553794236845;BUS -113--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.39178854027251;2.1101294356316327;BUS -22-63-68-75-78--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.39174466453342;2.110247039541599;BUS -22-63-68-75-78--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.37942898979635;2.110623778684153;BUS -L14--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38732153336857;2.1105599650442834;BUS -54-75-113--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.39005141865026;2.110882040715503;BUS -54--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.40497881295319;2.1108360953834397;BUS -130--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.389962554163375;2.1110491862705993;BUS -54-113--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38589258632618;2.1111173634403433;BUS -67-L97--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38623974827977;2.1113441266777473;BUS -L14--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.33356383428054;2.112151304395809;BUS -21--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41772231934624;2.1111556380541967;BUS -111--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.40405882860512;2.111348200446083;BUS -130--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.33374510964735;2.1124137896794606;BUS -21--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.4177257889702;2.111301612786471;BUS -111--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38925235493086;2.111851195930397;BUS -54-60-75-113-EP1-JM--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.37931594129147;2.112002939628736;BUS -L14--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.39293584376583;2.11187493197523;BUS -22-63-68-75-78--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38646990893473;2.112009312705824;BUS -H6--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.393377373991605;2.11196146886963;BUS -113--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.33086181700724;2.1128456461662557;BUS -21--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.387522455014114;2.112280452858017;BUS -33-EP1-JM--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38659941976363;2.112377185652404;BUS -33-54-60-75-113--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38659367751051;2.1124746928987377;BUS -7--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.40353932924935;2.1122953205587294;BUS -66-130--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.37782744232724;2.1126802374855074;BUS -57-157--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.33057767205516;2.113329453577374;BUS -21--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38789615649528;2.112630599336984;BUS -60--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38584503711296;2.1126731757274144;BUS -54-113--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38605800357097;2.11270266859564;BUS -7-67-75-L97-L79--;;
